"","reth","scheme","sex","year","cause","e0","cause_contribution","cause_contribution_months"
"156","latinx","Adair","male",2013,"Obesity",80.0609432187543,-1.18047645766393,-14.1657174919671
"157","nhw","Adair","female",2014,"Obesity",81.2016592198798,-0.676301065396686,-8.11561278476023
"158","nhw","Adair","male",2014,"Obesity",76.4948359810366,-0.794787689047567,-9.5374522685708
"159","nhb","Adair","female",2014,"Obesity",78.1702149165092,-1.61408091564151,-19.3689709876981
"160","nhb","Adair","male",2014,"Obesity",72.0423021711168,-1.60193750668459,-19.2232500802151
"161","latinx","Adair","female",2014,"Obesity",84.8691691836429,-1.07646811748033,-12.917617409764
"162","latinx","Adair","male",2014,"Obesity",80.1821101927682,-1.19549452636544,-14.3459343163852
"163","nhw","Adair","female",2015,"Obesity",81.0273200851816,-0.69954585838957,-8.39455030067484
"164","nhw","Adair","male",2015,"Obesity",76.3332390614916,-0.819280957812424,-9.83137149374909
"165","nhb","Adair","female",2015,"Obesity",78.107996370024,-1.63173926883751,-19.5808712260501
"166","nhb","Adair","male",2015,"Obesity",71.7190474589254,-1.65751453103695,-19.8901743724434
"167","latinx","Adair","female",2015,"Obesity",84.8104525043823,-1.11606478358162,-13.3927774029794
"168","latinx","Adair","male",2015,"Obesity",80.0390792203371,-1.22497301685414,-14.6996762022496
"169","nhw","Adair","female",2016,"Obesity",81.0688498147077,-0.72118540432659,-8.65422485191908
"170","nhw","Adair","male",2016,"Obesity",76.1991587542719,-0.847473286606245,-10.1696794392749
"171","nhb","Adair","female",2016,"Obesity",77.9696601136623,-1.65213023219158,-19.825562786299
"172","nhb","Adair","male",2016,"Obesity",71.4393504479836,-1.69565698221942,-20.347883786633
"173","latinx","Adair","female",2016,"Obesity",84.9136578277131,-1.13892284687819,-13.6670741625383
"174","latinx","Adair","male",2016,"Obesity",80.0348065080726,-1.26065006866473,-15.1278008239768
"175","nhw","Adair","female",2017,"Obesity",81.0178320411286,-0.739779431765498,-8.87735318118598
"176","nhw","Adair","male",2017,"Obesity",76.1414679902183,-0.872530973506798,-10.4703716820816
"177","nhb","Adair","female",2017,"Obesity",78.0777220837473,-1.68704383861652,-20.2445260633982
"178","nhb","Adair","male",2017,"Obesity",71.3188000045829,-1.74325924171839,-20.9191109006207
"179","latinx","Adair","female",2017,"Obesity",84.943524552072,-1.17999925210052,-14.1599910252062
"180","latinx","Adair","male",2017,"Obesity",79.9899144864707,-1.3170960546679,-15.8051526560148
"181","nhw","Adair","female",2018,"Obesity",81.1699850345079,-0.759150135780089,-9.10980162936107
"182","nhw","Adair","male",2018,"Obesity",76.3101125511254,-0.912663953620822,-10.9519674434499
"183","nhb","Adair","female",2018,"Obesity",78.163469915128,-1.70830843395731,-20.4997012074878
"184","nhb","Adair","male",2018,"Obesity",71.3758666219555,-1.79219067494806,-21.5062880993767
"185","latinx","Adair","female",2018,"Obesity",85.1021710819168,-1.16887596853968,-14.0265116224762
"186","latinx","Adair","male",2018,"Obesity",80.0678568745441,-1.33494917497595,-16.0193900997114
"187","nhw","Adair","female",2019,"Obesity",81.3674518762129,-0.797644558815563,-9.57173470578675
"188","nhw","Adair","male",2019,"Obesity",76.4654828070975,-0.966420454094944,-11.5970454491393
"189","nhb","Adair","female",2019,"Obesity",78.2759667813221,-1.75525883175645,-21.0631059810774
"190","nhb","Adair","male",2019,"Obesity",71.4327785226768,-1.83739945883134,-22.0487935059761
"191","latinx","Adair","female",2019,"Obesity",85.2512385174442,-1.25672922806831,-15.0807507368197
"192","latinx","Adair","male",2019,"Obesity",80.1476677137057,-1.4182127806553,-17.0185533678635
"193","nhw","Adair","female",2020,"Obesity",80.2121747443938,-0.798334181575541,-9.58001017890649
"194","nhw","Adair","male",2020,"Obesity",74.9323460768662,-0.950544124288996,-11.4065294914679
"195","nhb","Adair","female",2020,"Obesity",75.5168175251525,-1.68770343058476,-20.2524411670171
"196","nhb","Adair","male",2020,"Obesity",67.7944462115511,-1.69171957685639,-20.3006349222766
"197","latinx","Adair","female",2020,"Obesity",82.3420817228026,-1.11573279828471,-13.3887935794165
"198","latinx","Adair","male",2020,"Obesity",75.6218487269796,-1.18316739040482,-14.1980086848578
"199","nhw","Contributing","female",2010,"Obesity",81.0958358509852,-0.170749320617517,-2.04899184741021
"200","nhw","Contributing","male",2010,"Obesity",76.3627105101001,-0.187923812158999,-2.25508574590799
"201","nhb","Contributing","female",2010,"Obesity",77.643389616709,-0.302754015760854,-3.63304818913025
"202","nhb","Contributing","male",2010,"Obesity",71.3974880681674,-0.213868964333727,-2.56642757200473
"203","latinx","Contributing","female",2010,"Obesity",84.5704956077972,-0.141026390334005,-1.69231668400806
"204","latinx","Contributing","male",2010,"Obesity",79.6855393094469,-0.133378494317938,-1.60054193181526
"205","nhw","Contributing","female",2011,"Obesity",81.0559078234707,-0.18589858156632,-2.23078297879584
"206","nhw","Contributing","male",2011,"Obesity",76.3683150807214,-0.203957977743343,-2.44749573292012
"207","nhb","Contributing","female",2011,"Obesity",77.7747835111895,-0.322340550134186,-3.86808660161023
"208","nhb","Contributing","male",2011,"Obesity",71.691612316504,-0.231557219675835,-2.77868663611002
"209","latinx","Contributing","female",2011,"Obesity",84.6397629727617,-0.14920369122683,-1.79044429472196
"210","latinx","Contributing","male",2011,"Obesity",79.9619297837395,-0.142789538858523,-1.71347446630227
"211","nhw","Contributing","female",2012,"Obesity",81.1605632551706,-0.196074168727563,-2.35289002473075
"212","nhw","Contributing","male",2012,"Obesity",76.5098074861679,-0.213760192730575,-2.5651223127669
"213","nhb","Contributing","female",2012,"Obesity",78.0584103142106,-0.331433882610469,-3.97720659132563
"214","nhb","Contributing","male",2012,"Obesity",71.8070340366304,-0.230909496208938,-2.77091395450725
"215","latinx","Contributing","female",2012,"Obesity",84.6419038870435,-0.147485748200339,-1.76982897840406
"216","latinx","Contributing","male",2012,"Obesity",80.0079522616595,-0.149376057582231,-1.79251269098677
"217","nhw","Contributing","female",2013,"Obesity",81.1415073315867,-0.198425298981078,-2.38110358777294
"218","nhw","Contributing","male",2013,"Obesity",76.4669538826248,-0.219908421499966,-2.63890105799959
"219","nhb","Contributing","female",2013,"Obesity",78.0362380401684,-0.33704647559577,-4.04455770714924
"220","nhb","Contributing","male",2013,"Obesity",71.8283628933767,-0.26054034833524,-3.12648418002289
"221","latinx","Contributing","female",2013,"Obesity",84.6899921501619,-0.167176898880939,-2.00612278657127
"222","latinx","Contributing","male",2013,"Obesity",80.0609432187543,-0.165911212360967,-1.99093454833161
"223","nhw","Contributing","female",2014,"Obesity",81.2016592198798,-0.212847312832267,-2.5541677539872
"224","nhw","Contributing","male",2014,"Obesity",76.4948359810366,-0.237379007015377,-2.84854808418453
"225","nhb","Contributing","female",2014,"Obesity",78.1702149165092,-0.36988461847838,-4.43861542174056
"226","nhb","Contributing","male",2014,"Obesity",72.0423021711168,-0.281830764582836,-3.38196917499403
"227","latinx","Contributing","female",2014,"Obesity",84.8691691836429,-0.168501385971567,-2.0220166316588
"228","latinx","Contributing","male",2014,"Obesity",80.1821101927682,-0.179323729540499,-2.15188475448599
"229","nhw","Contributing","female",2015,"Obesity",81.0273200851816,-0.218280603292541,-2.6193672395105
"230","nhw","Contributing","male",2015,"Obesity",76.3332390614916,-0.243814739256266,-2.92577687107519
"231","nhb","Contributing","female",2015,"Obesity",78.107996370024,-0.37782457008079,-4.53389484096948
"232","nhb","Contributing","male",2015,"Obesity",71.7190474589254,-0.300718245980335,-3.60861895176402
"233","latinx","Contributing","female",2015,"Obesity",84.8104525043823,-0.16432561941734,-1.97190743300808
"234","latinx","Contributing","male",2015,"Obesity",80.0390792203371,-0.186484993720654,-2.23781992464785
"235","nhw","Contributing","female",2016,"Obesity",81.0688498147077,-0.226765142777239,-2.72118171332687
"236","nhw","Contributing","male",2016,"Obesity",76.1991587542719,-0.256798930354961,-3.08158716425953
"237","nhb","Contributing","female",2016,"Obesity",77.9696601136623,-0.389680408353726,-4.67616490024471
"238","nhb","Contributing","male",2016,"Obesity",71.4393504479836,-0.31638811597405,-3.7966573916886
"239","latinx","Contributing","female",2016,"Obesity",84.9136578277131,-0.17390658394585,-2.08687900735021
"240","latinx","Contributing","male",2016,"Obesity",80.0348065080726,-0.192429542265799,-2.30915450718959
"241","nhw","Contributing","female",2017,"Obesity",81.0178320411286,-0.232970420025708,-2.7956450403085
"242","nhw","Contributing","male",2017,"Obesity",76.1414679902183,-0.26906580992069,-3.22878971904828
"243","nhb","Contributing","female",2017,"Obesity",78.0777220837473,-0.383945823824604,-4.60734988589525
"244","nhb","Contributing","male",2017,"Obesity",71.3188000045829,-0.3214346552395,-3.857215862874
"245","latinx","Contributing","female",2017,"Obesity",84.943524552072,-0.175584466169795,-2.10701359403754
"246","latinx","Contributing","male",2017,"Obesity",79.9899144864707,-0.201887914908539,-2.42265497890247
"247","nhw","Contributing","female",2018,"Obesity",81.1699850345079,-0.233448398273438,-2.80138077928126
"248","nhw","Contributing","male",2018,"Obesity",76.3101125511254,-0.279759746999389,-3.35711696399267
"249","nhb","Contributing","female",2018,"Obesity",78.163469915128,-0.405600735264699,-4.86720882317638
"250","nhb","Contributing","male",2018,"Obesity",71.3758666219555,-0.334965848507522,-4.01959018209027
"251","latinx","Contributing","female",2018,"Obesity",85.1021710819168,-0.164531581509507,-1.97437897811409
"252","latinx","Contributing","male",2018,"Obesity",80.0678568745441,-0.212012925918472,-2.54415511102167
"253","nhw","Contributing","female",2019,"Obesity",81.3674518762129,-0.239648649191508,-2.8757837902981
"254","nhw","Contributing","male",2019,"Obesity",76.4654828070975,-0.29133418634531,-3.49601023614372
"255","nhb","Contributing","female",2019,"Obesity",78.2759667813221,-0.415875013183722,-4.99050015820467
"256","nhb","Contributing","male",2019,"Obesity",71.4327785226768,-0.352276999166278,-4.22732398999534
"257","latinx","Contributing","female",2019,"Obesity",85.2512385174442,-0.170624163501884,-2.04748996202261
"258","latinx","Contributing","male",2019,"Obesity",80.1476677137057,-0.229505425124913,-2.75406510149895
"259","nhw","Contributing","female",2020,"Obesity",80.2121747443938,-0.28082509645786,-3.36990115749433
"260","nhw","Contributing","male",2020,"Obesity",74.9323460768662,-0.338133642194578,-4.05760370633493
"261","nhb","Contributing","female",2020,"Obesity",75.5168175251525,-0.500289496063203,-6.00347395275844
"262","nhb","Contributing","male",2020,"Obesity",67.7944462115511,-0.40713142318377,-4.88557707820524
"263","latinx","Contributing","female",2020,"Obesity",82.3420817228026,-0.201995271825282,-2.42394326190339
"264","latinx","Contributing","male",2020,"Obesity",75.6218487269796,-0.274111930107608,-3.2893431612913
"265","nhw","Underlying","female",2010,"Obesity",81.0958358509852,-0.0341686396402991,-0.41002367568359
"266","nhw","Underlying","male",2010,"Obesity",76.3627105101001,-0.0374602977165637,-0.449523572598764
"267","nhb","Underlying","female",2010,"Obesity",77.643389616709,-0.0641845985529415,-0.770215182635297
"268","nhb","Underlying","male",2010,"Obesity",71.3974880681674,-0.0445653748256944,-0.534784497908333
"269","latinx","Underlying","female",2010,"Obesity",84.5704956077972,-0.0255160959087135,-0.306193150904562
"270","latinx","Underlying","male",2010,"Obesity",79.6855393094469,-0.026443651155887,-0.317323813870644
"271","nhw","Underlying","female",2011,"Obesity",81.0559078234707,-0.0373621456152193,-0.448345747382632
"272","nhw","Underlying","male",2011,"Obesity",76.3683150807214,-0.0392648381093181,-0.471178057311818
"273","nhb","Underlying","female",2011,"Obesity",77.7747835111895,-0.0708637127533507,-0.850364553040208
"274","nhb","Underlying","male",2011,"Obesity",71.691612316504,-0.0499290735238276,-0.599148882285931
"275","latinx","Underlying","female",2011,"Obesity",84.6397629727617,-0.0285050656748069,-0.342060788097683
"276","latinx","Underlying","male",2011,"Obesity",79.9619297837395,-0.0245070249516459,-0.294084299419751
"277","nhw","Underlying","female",2012,"Obesity",81.1605632551706,-0.0391551519497852,-0.469861823397423
"278","nhw","Underlying","male",2012,"Obesity",76.5098074861679,-0.0401631220348975,-0.48195746441877
"279","nhb","Underlying","female",2012,"Obesity",78.0584103142106,-0.0674195236760369,-0.809034284112442
"280","nhb","Underlying","male",2012,"Obesity",71.8070340366304,-0.0467335366720647,-0.560802440064776
"281","latinx","Underlying","female",2012,"Obesity",84.6419038870435,-0.026560637821035,-0.31872765385242
"282","latinx","Underlying","male",2012,"Obesity",80.0079522616595,-0.0285409012745816,-0.34249081529498
"283","nhw","Underlying","female",2013,"Obesity",81.1415073315867,-0.0392062500856412,-0.470475001027694
"284","nhw","Underlying","male",2013,"Obesity",76.4669538826248,-0.0415676720597418,-0.498812064716901
"285","nhb","Underlying","female",2013,"Obesity",78.0362380401684,-0.0675209827237921,-0.810251792685506
