"","reth","sex","year","x","nx","mx","px","qx","lx","dx","Lx","Tx","ex","edx","ex_q025","ex_q975","edx_q025","edx_q975"
"1369","nhw","male",2013,55,1,0.00780917378954247,0.992221238591415,0.00777876140858536,0.899599684307523,0.00699777130746693,0.8960962447574,23.0937312391401,25.6711197680296,9.13477062500417,25.6502579021265,25.6904762048524,9.12047370189631,9.15005160153643
"1370","nhw","male",2013,56,1,0.00847332268547571,0.991562474734142,0.00843752526585839,0.892601913000056,0.00753135119329151,0.888830919445704,22.1976349943827,24.8684600280274,9.00827618972483,24.8478295792992,24.8885435435693,8.99424191355677,9.0228062860577
"1371","nhw","male",2013,57,1,0.00906213523858058,0.990978802155564,0.00902119784443567,0.885070561806765,0.00798439664434458,0.881072333852655,21.308804074937,24.0758251313179,8.87668915744224,24.0558014011844,24.0946752884936,8.86274543462861,8.89110610467976
"1372","nhw","male",2013,58,1,0.00981472961554854,0.99023327765533,0.00976672234467035,0.87708616516242,0.00856625704749303,0.872796030358527,20.4277317410843,23.2904503029089,8.74190130775292,23.2705103350565,23.3092461503319,8.728190625603,8.75657605772355
"1373","nhw","male",2013,59,1,0.0104337971821674,0.9896204460614,0.0103795539385996,0.868519908114927,0.00901484923302653,0.864004645253601,19.5549357107258,22.5152417670755,8.60223117303815,22.4950804491306,22.5344529416505,8.58859592289814,8.61673854854998
"1374","nhw","male",2013,60,1,0.0111873626857759,0.988874983144429,0.0111250168555713,0.859505058881901,0.00956200826750997,0.854715140295531,18.6909310654722,21.7461559676991,8.46033893475734,21.7263883350705,21.7647296241331,8.44703590707478,8.47432194630053
"1375","nhw","male",2013,61,1,0.0119791643399286,0.988092300202741,0.0119076997972595,0.849943050614391,0.010120866691483,0.844872513999032,17.8362159251767,20.985189433908,8.31515166829672,20.9661260017025,21.0028262474175,8.30155389616612,8.3289839331485
"1376","nhw","male",2013,62,1,0.0127766716781849,0.987304603481161,0.0126953965188387,0.839822183922908,0.0106618756302184,0.834479894198315,16.9913434111776,20.2320726178119,8.16700046660874,20.2136560641728,20.250161233319,8.15362250267138,8.18113179589106
"1377","nhw","male",2013,63,1,0.0134720476928022,0.986618294189944,0.0133817058100556,0.829160308292689,0.0110955793149478,0.823600061991751,16.1568635169793,19.4858139679258,8.01665795860099,19.4672046342036,19.5035911761316,8.00384831085993,8.03007867003724
"1378","nhw","male",2013,64,1,0.0142515203574234,0.985849551844953,0.0141504481550473,0.818064728977741,0.0115759825348724,0.81226298981095,15.3332634549876,18.7433376746949,7.86613462772674,18.724600899369,18.761634017937,7.85341530933903,7.8790307390347
